v1,_varname
.1040475,"borrowing_assets"
.1533751,"borrowing_dep_total"
.6395917,"loan_to_assets"
.2835356,"liquidity_to_assets"
.7841229,"deposits_assets"
.0322978,"nonintexp_assets"
.0130654,"nonintinc_assets"
2.569903,"effective_reserve_ratio"
.1808494,"ciloans_total_loans"
10.77569,"leverage"
3.868998,"loan_dur"
4.776258,"secu_dur"
4.460892,"assets_dur"
3.684566,"assets_dur_prepayment_adjusted"
3.37077,"loan_dur_prepayment_adjusted"
3.467165,"secu_dur_prepayment_adjusted"
.4199905,"liabilities_dur"
1.24463,"s_dep"
3.185208,"s_loan"
.8180408,"loan_to_dep"
.6899057,"s_dep_FFR"
-.053132,"s_loan_FFR"
.4687311,"netloanchargeoffs_loans"
.0930803,"borrowing_assets_sd"
.0486159,"borrowing_assets_demean_sd"
.1717532,"borrowing_dep_total_sd"
.0866365,"borrowing_dep_total_demean_sd"
1.697161,"assets_dur_sd"
