v1,_varname
.2075201,"borrowing_assets"
.3418459,"borrowing_dep_total"
.5944903,"loan_to_assets"
.3394016,"liquidity_to_assets"
.6792836,"deposits_assets"
.0350379,"nonintexp_assets"
.0219622,"nonintinc_assets"
2.766613,"effective_reserve_ratio"
.2530274,"ciloans_total_loans"
12.45996,"leverage"
3.44782,"loan_dur"
4.71505,"secu_dur"
4.190678,"assets_dur"
3.178391,"assets_dur_prepayment_adjusted"
2.897989,"loan_dur_prepayment_adjusted"
2.768534,"secu_dur_prepayment_adjusted"
.4266887,"liabilities_dur"
1.950794,"s_dep"
2.433447,"s_loan"
.8655224,"loan_to_dep"
.6156232,"s_dep_FFR"
.0214502,"s_loan_FFR"
.6061856,"netloanchargeoffs_loans"
.1067982,"borrowing_assets_sd"
.0473247,"borrowing_assets_demean_sd"
.2203932,"borrowing_dep_total_sd"
.1034914,"borrowing_dep_total_demean_sd"
1.40221,"assets_dur_sd"
