v1,_varname
.1873093,"borrowing_assets"
.298923,"borrowing_dep_total"
.5738362,"loan_to_assets"
.3610192,"liquidity_to_assets"
.6989483,"deposits_assets"
.0319643,"nonintexp_assets"
.0196596,"nonintinc_assets"
2.494571,"effective_reserve_ratio"
.2258464,"ciloans_total_loans"
11.1966,"leverage"
3.906632,"loan_dur"
5.206293,"secu_dur"
4.746299,"assets_dur"
3.42872,"assets_dur_prepayment_adjusted"
3.148478,"loan_dur_prepayment_adjusted"
2.856978,"secu_dur_prepayment_adjusted"
.3527952,"liabilities_dur"
1.297069,"s_dep"
2.813985,"s_loan"
.8170326,"loan_to_dep"
.6405966,"s_dep_FFR"
-.0869968,"s_loan_FFR"
.781607,"netloanchargeoffs_loans"
.1026693,"borrowing_assets_sd"
.0610288,"borrowing_assets_demean_sd"
.2036536,"borrowing_dep_total_sd"
.1258727,"borrowing_dep_total_demean_sd"
1.444541,"assets_dur_sd"
