year,rssdid,total_payout_ratio_w,borrowing_assets,borrowing_dep_total,s_dep,s_loan,deposits_assets,net_nonintexp_assets,leverage,MB_w,assets_share
1998,31415,,.2110832,.2924618,1.034435,3.185895,.7217461,.0090706,14.88745,,.0085843
1995,31415,,.3274743,.5430453,1.228388,1.220784,.6030331,.006261,14.39002,,.0080432
2015,35301,.0682689,.0924603,.1123389,.0717165,2.148061,.8230483,-.0006494,11.83553,1.441354,.0150771
2005,35301,.0150592,.2436155,.35485,1.663096,-.658893,.686531,-.0040375,14.31568,2.905005,.0098889
2002,35301,.0076914,.3382783,.6145395,.4562431,.7237061,.5799019,-.0243843,15.69233,2.647202,.0114462
1997,35301,.0197378,.2753527,.4140262,3.048273,-.6004696,.665061,.0026092,16.78238,4.69101,.0075051
1996,35301,.0318611,.3092663,.4877348,3.137365,-.7071042,.634087,.0047948,17.6533,2.954691,.0068924
2010,35301,.0008202,.2249382,.3368818,-.0979516,2.228867,.6677065,.0010144,9.314864,1.30692,.0130389
2016,35301,.059281,.1069091,.1333921,.3623864,2.1175,.8014655,.002452,10.914,1.647023,.0142466
2000,35301,.0024758,.3382783,.5915334,3.38264,-1.151973,.5934989,.0010121,18.04181,4.710343,.0105061
2014,35301,.0592161,.1263739,.1579888,.0121754,2.131287,.7998912,.0013883,13.56209,1.670398,.0173336
2004,35301,.0145137,.3062356,.4904511,.7065375,.2385448,.6243956,.0010907,14.4157,2.660926,.0109121
2013,35301,.0701118,.1337582,.1706967,-.0006206,2.293222,.7836012,.0005031,12.10059,1.602088,.0162163
2006,35301,.0158478,.2385037,.3450545,1.957661,-.8695197,.691206,-.0033459,14.22672,3.091508,.00975
1994,35301,.020262,.2919042,.4476006,2.670067,-1.32663,.6521534,.0030241,17.87553,1.777889,.0054035
2001,35301,.0126379,.3382783,.5756244,.7886754,-.3525842,.5940333,.0023332,15.6185,4.398376,.010161
2003,35301,.0042261,.3230592,.5365412,.348374,.4875771,.6021145,-.020185,13.36429,3.031043,.0107675
2017,35301,.0535171,.0966811,.1200837,1.056828,1.663061,.8051135,-.0012517,10.18273,1.876801,.0134868
2011,35301,.0474389,.1463899,.1909867,-.0949892,2.779632,.7664925,.0025756,11.47873,1.03969,.0162926
2008,35301,0,.2491035,.3701417,-.1936183,1.559513,.672995,.0075074,12.83673,1.558459,.0141267
1999,35301,.0160859,.3361538,.5507824,3.212623,-1.331508,.6103205,-.0176977,18.34885,4.396698,.0098812
2009,35301,.0061548,.2886704,.4686801,-.0376853,1.428061,.615922,-.0082616,10.48134,1.48709,.0131475
2012,35301,.0758195,.1391303,.1804865,.0642544,3.042091,.7708625,.0027083,11.11022,1.057983,.0151197
1998,35301,.0078402,.2984025,.4666547,2.498255,.9152359,.6394504,.0034209,16.09087,4.710343,.0079791
1995,35301,.0181612,.2979613,.4618804,3.033529,-.3391612,.6451049,.0033668,17.56426,2.335372,.0059447
2007,35301,.0300069,.1802288,.2466424,2.05795,-.0653261,.7307289,.0085613,11.23061,2.776021,.0122831
2003,42541,.0368297,.1548822,.1991892,.7744503,1.635491,.7775635,.0092849,14.8029,2.204762,.0027223
1998,42541,.025931,.1897285,.2642035,1.382051,7.586719,.718115,.0334561,10.85111,3.391049,.0036634
2004,42541,.0819224,.0848316,.1047248,1.815551,.3281871,.8100428,.0096635,9.512429,1.896779,.0027462
1999,42541,.0781002,.235218,.3381846,3.148225,1.744012,.6955314,.0145841,14.44033,2.523859,.0032246
2001,42541,.0396717,.2146328,.300529,.8245195,1.764211,.7141833,.0100592,14.04811,2.406205,.002957
1996,42541,.0297713,.1285883,.1617047,2.544245,2.828563,.7952043,.0089734,13.12209,2.015615,.0028593
